Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Bazooka Tango,Seed,Seed,"$2,500,000","Mar 16, 2020",Bazooka Tango,Bazooka Tango is a mobile gaming company.,"Gaming, Online Games",—,"San Mateo, California, United States, North America",www.bazookatango.com/,,"$2,500,000",Seed,1,BITKRAFT Ventures,4
Seed Round - ThorDrive,Seed,Seed,"$6,900,000","Apr 22, 2020",ThorDrive,ThorDrive is a company that developes software solutions related to automated and unmanned technology.,"Autonomous Vehicles, Software",—,"Cincinnati, Ohio, United States, North America",www.thordrive.ai,,"$26,100,000",Early Stage Venture,3,—,4
Seed Round - SparkCharge,Seed,Seed,"$3,300,000","Apr 14, 2020",SparkCharge,SparkCharge is an automotive company that offers mobile and convenient charging stations for electric vehicles.,"Automotive, Electric Vehicle, Energy Storage, GreenTech","Black / African American Founded, Black / African American Led","Somerville, Massachusetts, United States, North America",sparkcharge.io,,"$67,140,706",Early Stage Venture,11,PJC,6
Seed Round - Celestial Therapeutics,Seed,Seed,"$1,130,000","Apr 9, 2020",Celestial Therapeutics,Celestial is a biopharmaceutical company focusing on the development and commercialization of anti-infective lipid and protein therapeutics.,"Biotechnology, Health Care, Medical, Therapeutics",—,"Irvine, California, United States, North America",www.celestialtherapeutics.com/,,"$1,130,000",Seed,1,—,—
Seed Round - Rewind,Seed,Seed,"$2,500,000","May 1, 2020",Rewind,Rewind offers a structured clinical program that helps to lose weight and defeat the chronic disease.,"Fitness, Health Care, Training",—,"San Francisco, California, United States, North America",www.joinrewind.com/,,"$2,500,000",Seed,1,—,1
Seed Round - renegade.bio,Seed,Seed,"$334,000","Apr 21, 2020",renegade.bio,Renegade.bio provides rapid and cost-effective diagnostic testing for detection of novel infectious diseases.,"Biotechnology, Health Care, Health Diagnostics","LGBTQ+ Founded, LGBTQ+ Led","Berkeley, California, United States, North America",www.renegade.bio,,"$1,134,000",Early Stage Venture,7,—,2
Seed Round - Dom's Kitchen & Market,Seed,Seed,"$10,000,000","Apr 1, 2020",Dom's Kitchen & Market,Dom's Kitchen & Market brings the community of food to customers through careful curation and and experience in store and on the go.,"E-Commerce, Grocery, Restaurants, Shopping",—,"Chicago, Illinois, United States, North America",www.domschicago.com/,,"$46,428,919",Seed,4,—,2
Seed Round - SOCDGM,Seed,Seed,"$2,500,000","Apr 8, 2020",SOCDGM,Digital Marketing,"Digital Marketing, Software",—,"Pittsburgh, Pennsylvania, United States, North America",www.socdgm.com,,"$8,670,000",—,9,—,1
Seed Round - Zaam,Seed,Seed,"$150,000","Mar 16, 2020",Zaam,Zaam improves business onboarding processes for data collection.,"Cloud Data Services, Finance, SaaS","Women Founded, Women Led","Palo Alto, California, United States, North America",zaam.io/,,"$150,000",Seed,1,—,3
Pre Seed Round - Laserfocus,Pre-Seed,Seed,"$410,000","Mar 16, 2020",Laserfocus,Laserfocus helps streamline sales processes to help increase sales productivity.,"B2B, CRM, SaaS, Sales, Sales Automation, Software",—,"San Francisco, California, United States, North America",www.laserfocus.io/,,"$555,000",Seed,4,Y Combinator,3
