Transaction Name,Funding Type,Funding Stage,Money Raised,Announced Date,Organization Name,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors
Seed Round - Raiinmaker,Seed,Seed,"$5,000,000","Oct 15, 2021",Raiinmaker,Raiinmaker is a social engagement platform that helps communities and projects work together.,"Communities, Information Technology, Marketing Automation, Mobile Apps, Social Media",—,"Santa Monica, California, United States, North America",raiinmaker.com,,"$5,000,000",Seed,1,—,14
Seed Round - OpenEvidence,Seed,Seed,"$5,000,000","Nov 1, 2021",OpenEvidence,OpenEvidence is a common problem in many high-value domains. It's a huge challenge in medicine.,"Clinical Trials, Medical",—,"Cambridge, Massachusetts, United States, North America",www.openevidence.com,,"$32,000,000",Early Stage Venture,2,Daniel Nadler,1
Seed Round - Billo,Seed,Seed,"€2,000,000","Oct 13, 2021",Billo,"Billo is an all-in-one platform that facilitates the creation of bespoke eCom videos, video advertisements, product videos, and commercials.","Advertising, E-Commerce, Marketing",—,"San Francisco, California, United States, North America",billo.app,,"€2,935,000",Seed,2,"Open Circle Capital, Practica Capital",7
Seed Round - Satoshi Energy,Seed,Seed,"$2,387,966","Oct 25, 2021",Satoshi Energy,Satoshi Energy is a provider of data driven insights and power contracts for bitcoin miners.,"Bitcoin, FinTech",—,"Houston, Texas, United States, North America",satoshienergy.com,,"$2,387,966",Seed,1,StillMark,9
Seed Round - Nova,Seed,Seed,"$3,700,000","Oct 28, 2021",Nova,Nova is the professional community platform for the next generation.,—,—,"San Francisco, California, United States, North America",joinnova.co,,"$3,700,000",Seed,1,—,11
Grant - Bare Reverie,Grant,—,"$10,000","Nov 1, 2021",Bare Reverie,Bare Reverie is a clothing brand.,"Beauty, Fashion",—,"Miramar Beach, Florida, United States, North America",barereverie.com,,"$10,000",—,1,Comcast RISE,1
Seed Round - Possibility Space,Seed,Seed,"$3,000,000","Oct 13, 2021",Possibility Space,Possibility Space is a game and media industry.,"Console Games, MMO Games, Online Games, PC Games, Video Games",—,"New Orleans, Louisiana, United States, North America",www.possibility.co/,,"$3,000,000",Seed,1,Transcend Fund,1
Seed Round - Jet Protocol Holdings,Seed,Seed,"$6,800,000","Nov 8, 2021",Jet Protocol Holdings,Jet Protocol Holdings is an operator of a lending platform.,"Blockchain, Financial Services, FinTech, Lending",—,"Greenwich, Connecticut, United States, North America",jetprotocol.io,,"$11,600,000",Seed,2,—,9
Seed Round - Aqua,Seed,Seed,"$3,800,000","Nov 2, 2021",Aqua,Aqua is an investment platform that allows financial advisors to put their clients into alternative assets with no operational lift.,"Asset Management, Finance, Financial Services",—,"New City, New York, United States, North America",www.investwithaqua.com,,"$3,925,000",Seed,2,Gradient Ventures,5
Pre Seed Round - Kappa Pay,Pre-Seed,Seed,"$2,100,000","Oct 14, 2021",Kappa Pay,"Kappa offers a fast, affordable, and reliable way for African businesses to send cross-border payments with higher transaction limits.","Financial Services, FinTech",—,"Boston, Massachusetts, United States, North America",www.kappapay.com/,,"$3,600,000",Seed,2,Morningside Group,2
Pre Seed Round - Every,Pre-Seed,Seed,"$2,155,555","Nov 11, 2021",Every,What Investing Becomes,"Auctions, Automotive, Fashion, Jewelry, Non Profit, Online Auctions, Retail Technology, Shoes, Trade Shows, Wine And Spirits",—,"Austin, Texas, United States, North America",investevery.co,,"$3,155,555",Seed,2,—,4
Pre Seed Round - Fret Zealot,Pre-Seed,Seed,"$500,000","Oct 29, 2021",Fret Zealot,Fret Zealot  is a LED accessory for a guitar that shows where to put the fingers to play anything.,"Consumer Electronics, Music Education, Musical Instruments",—,"Arlington, Virginia, United States, North America",fretzealot.com/,,"$850,000",Seed,2,43North,1
Seed Round - ShearShare,Seed,Seed,"$500,000","Nov 4, 2021",ShearShare,First mobile marketplace that provides space-as-a-service for the beauty and barbering industry (verticalized SaaS),"B2B, Beauty, Marketplace, Mobile, Mobile Apps, Sharing Economy","Black / African American Founded, Black / African American Led, Women Founded","Mckinney, Texas, United States, North America",shearshare.com/,,"$6,060,000",Seed,7,43North,1
Seed Round - Top Seedz,Seed,Seed,"$1,000,000","Oct 29, 2021",Top Seedz,"Top Seedz is an e-commerce store that offers organic, gluten-free, and vegan products.","E-Commerce, Food and Beverage, Organic",—,"New York, New York, United States, North America",topseedz.com,,"$1,366,605",Seed,2,43North,1
Seed Round - Mesodyne,Seed,Seed,"$1,700,000","Nov 10, 2021",Mesodyne,"Mesodyne's solution is a novel ultra-high energy density, multi-fuel, silent, compact power generator.","Energy, Nanotechnology","Women Founded, Women Led","Somerville, Massachusetts, United States, North America",www.mesodyne.com/,,"$3,614,615",Seed,11,"Nor'easter Ventures, Techstars",4
Seed Round - beehiiv,Seed,Seed,"$2,599,000","Oct 26, 2021",beehiiv,"Beehiiv offers a platform that enables creators to produce, monetize, and expand newsletters.","Developer Platform, Information Technology, Publishing",—,"New York, New York, United States, North America",www.beehiiv.com,,"$16,699,000",Early Stage Venture,3,Social Leverage,16
Pre Seed Round - Inspira AI Corp.,Pre-Seed,Seed,"$100,000","Nov 10, 2021",Inspira AI Corp.,AI Productivity Software services,"Artificial Intelligence, Software",—,"Los Angeles, California, United States, North America",inspira.ai,,"$509,650",Seed,3,Benny Traub,2
Seed Round - Genopets,Seed,Seed,"$8,300,000","Oct 18, 2021",Genopets,"Genopets is the world’s first Free-to-Play, Move-to-Earn NFT mobile game that makes it fun and rewarding to live an active lifestyle.","Blockchain, Gaming, Mobile Apps, Video Games",—,"Wilmington, Delaware, United States, North America",www.genopets.me/,,"$8,300,000",Seed,2,"Konvoy, Pantera Capital",18
Seed Round - Myxt,Seed,Seed,"$2,000,000","Nov 10, 2021",Myxt,Myxt is a computer software company.,—,—,"San Francisco, California, United States, North America",myxt.com/,,"$4,000,000",Seed,2,—,2
Pre Seed Round - ReloShare,Pre-Seed,Seed,"$550,000","Nov 1, 2021",ReloShare,First and only alias based hotel booking platform for government and social services organizations.,"Hospitality, Hotel, Insurance, Social Impact",—,"Chicago, Illinois, United States, North America",www.reloshare.com,,"$5,150,000",Seed,3,—,3
Seed Round - LÜK Network,Seed,Seed,"$4,000,000","Nov 1, 2021",LÜK Network,LÜK Network is a fintech-enabled B2B marketplace for the advertising industry.,"FinTech, Internet, Marketplace",—,"Los Angeles, California, United States, North America",luknetwork.com/,,"$7,690,000",Seed,4,Nyca Partners,6
Seed Round - Monet,Seed,Seed,"$2,300,000","Nov 1, 2021",Monet,Monet is an application that allows employees to advance their salaries through their mobile phones.,"FinTech, Mobile Apps",—,"Bogotá, Distrito Especial, Colombia, South America",monet.com.co,,"$2,300,000",Seed,2,Y Combinator,3
Seed Round - Elevai Labs,Seed,Seed,"$1,090,577","Nov 1, 2021",Elevai Labs,Elevai Labs is a biotechnology company that develops regenerative skin care applications.,"Beauty, Biotechnology, Cosmetics",—,"Davis, California, United States, North America",elevaiskincare.com/,,"$1,554,166",Seed,2,BRAEDEN WILLIAM LICHTI,1
Seed Round - EverythingPay,Seed,Seed,"$250,000","Oct 16, 2021",EverythingPay,Crypto/Fiat payment network processor,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Mobile Payments",—,"New York, New York, United States, North America",everythingpay.io,,"$250,000",Seed,1,Openfund,1
